"filename", "language", "JavaScript JSX", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\App.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 4, 23
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\arrow.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\car.svg", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\contact.svg", "XML", 0, 0, 11, 0, 0, 0, 11
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\css.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\estate.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\express.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\git.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\github.svg", "XML", 0, 0, 10, 0, 0, 1, 11
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\html.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\index.js", "JavaScript", 0, 58, 0, 0, 0, 1, 59
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\javascript.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\linkedin.svg", "XML", 0, 0, 3, 0, 0, 0, 3
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\mongodb.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\motion.svg", "XML", 0, 0, 12, 0, 0, 1, 13
"c:\Users\Robert Knieriemen\Desktop\3d_portfolio_v2\portfolio_3d_revision\src\assets\icons\mui.svg", "XML", 0, 0, 6, 0, 0, 1, 7
